Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 5, 5, -10000, TWO_PAIR, 6, NORMAL
2222, 25875, 500, 500, 15875, FOUR_OF_A_KIND, 2, NORMAL
3333, 0, 5, 5, -10000, ONE_PAIR, 6, NORMAL
4444, 50, 203, 0, -9950, NULL, 3, NORMAL
5555, 0, 8, 8, -10000, FLUSH, 5, NORMAL
6666, 54075, 500, 500, 44075, FULL_HOUSE, 1, NORMAL
7777, 0, 5, 5, -10000, STRAIGHT, 6, NORMAL
8888, 0, 9, 5, -10000, TWO_PAIR, 4, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 79950, 383, 16, 69950, STRAIGHT, 1, NORMAL
2222, 0, 7, 7, -10000, STRAIGHT, 6, NORMAL
3333, 0, 10, 10, -10000, FULL_HOUSE, 4, NORMAL
4444, 50, 383, 0, -9950, NULL, 2, NORMAL
5555, 0, 5, 5, -10000, TWO_PAIR, 8, NORMAL
6666, 0, 8, 8, -10000, THREE_OF_A_KIND, 5, NORMAL
7777, 0, 6, 5, -10000, STRAIGHT, 7, NORMAL
8888, 0, 29, 11, -10000, STRAIGHT, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 79950, 395, 22, 69950, FULL_HOUSE, 1, NORMAL
2222, 0, 9, 9, -10000, FULL_HOUSE, 6, NORMAL
3333, 0, 22, 22, -10000, FULL_HOUSE, 3, NORMAL
4444, 50, 395, 0, -9950, NULL, 2, NORMAL
5555, 0, 5, 5, -10000, TWO_PAIR, 8, NORMAL
6666, 0, 11, 11, -10000, FLUSH, 5, NORMAL
7777, 0, 6, 5, -10000, TWO_PAIR, 7, NORMAL
8888, 0, 17, 7, -10000, THREE_OF_A_KIND, 4, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 5, 5, -10000, FLUSH, 6, NORMAL
2222, 27450, 500, 500, 17450, FOUR_OF_A_KIND, 2, NORMAL
3333, 0, 5, 5, -10000, TWO_PAIR, 6, NORMAL
4444, 50, 208, 0, -9950, NULL, 3, NORMAL
5555, 52500, 500, 500, 42500, FOUR_OF_A_KIND, 1, NORMAL
6666, 0, 7, 7, -10000, THREE_OF_A_KIND, 5, NORMAL
7777, 0, 5, 5, -10000, TWO_PAIR, 6, NORMAL
8888, 0, 16, 6, -10000, TWO_PAIR, 4, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 5, 5, -10000, STRAIGHT, 6, NORMAL
2222, 0, 5, 5, -10000, TWO_PAIR, 6, NORMAL
3333, 79950, 386, 10, 69950, FULL_HOUSE, 1, NORMAL
4444, 50, 386, 0, -9950, NULL, 2, NORMAL
5555, 0, 7, 7, -10000, TWO_PAIR, 4, NORMAL
6666, 0, 5, 5, -10000, TWO_PAIR, 6, NORMAL
7777, 0, 6, 5, -10000, TWO_PAIR, 5, NORMAL
8888, 0, 19, 7, -10000, STRAIGHT, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 7, 7, -10000, STRAIGHT, 5, NORMAL
2222, 0, 5, 5, -10000, THREE_OF_A_KIND, 7, NORMAL
3333, 0, 5, 5, -10000, TWO_PAIR, 7, NORMAL
4444, 50, 383, 0, -9950, NULL, 2, NORMAL
5555, 79950, 383, 14, 69950, STRAIGHT, 1, NORMAL
6666, 0, 10, 10, -10000, THREE_OF_A_KIND, 4, NORMAL
7777, 0, 6, 6, -10000, TWO_PAIR, 6, NORMAL
8888, 0, 23, 7, -10000, TWO_PAIR, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 6, 6, -10000, STRAIGHT, 6, NORMAL
2222, 0, 5, 5, -10000, FULL_HOUSE, 7, NORMAL
3333, 62700, 500, 500, 52700, STRAIGHT_FLUSH, 1, NORMAL
4444, 50, 207, 0, -9950, NULL, 3, NORMAL
5555, 0, 5, 5, -10000, STRAIGHT, 7, NORMAL
6666, 17250, 500, 500, 7250, FOUR_OF_A_KIND, 2, NORMAL
7777, 0, 9, 7, -10000, FULL_HOUSE, 5, NORMAL
8888, 0, 16, 7, -10000, TWO_PAIR, 4, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 79950, 387, 16, 69950, FULL_HOUSE, 1, NORMAL
2222, 0, 9, 9, -10000, FLUSH, 4, NORMAL
3333, 0, 6, 6, -10000, FLUSH, 6, NORMAL
4444, 50, 387, 0, -9950, NULL, 2, NORMAL
5555, 0, 5, 5, -10000, STRAIGHT, 7, NORMAL
6666, 0, 5, 5, -10000, TWO_PAIR, 7, NORMAL
7777, 0, 9, 5, -10000, TWO_PAIR, 4, NORMAL
8888, 0, 26, 7, -10000, FLUSH, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 7, 7, -10000, STRAIGHT, 4, NORMAL
2222, 0, 5, 5, -10000, FLUSH, 5, NORMAL
3333, 0, 5, 5, -10000, TWO_PAIR, 5, NORMAL
4444, 50, 330, 0, -9950, NULL, 2, NORMAL
5555, 0, 5, 5, -10000, TWO_PAIR, 5, NORMAL
6666, 0, 69, 22, -10000, FLUSH, 3, NORMAL
7777, 0, 5, 5, -10000, ONE_PAIR, 5, NORMAL
8888, 71750, 330, 17, 61750, FLUSH, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 9, 9, -10000, STRAIGHT, 5, NORMAL
2222, 0, 7, 7, -10000, TWO_PAIR, 8, NORMAL
3333, 0, 16, 16, -10000, FLUSH, 4, NORMAL
4444, 50, 364, 0, -9950, NULL, 2, NORMAL
5555, 79950, 364, 25, 69950, FULL_HOUSE, 1, NORMAL
6666, 0, 8, 8, -10000, FULL_HOUSE, 6, NORMAL
7777, 0, 8, 7, -10000, STRAIGHT, 6, NORMAL
8888, 0, 46, 13, -10000, FULL_HOUSE, 3, NORMAL